event_id,event_name,venue,event_type,event_category,sport_or_category,date,start_time,end_time,start,end,attendance,attendance_source,source,competition,round,home_team,away_team,home_score,away_score,year,month,day,day_of_week,start_hour,end_hour,is_weekend,source_url,notes
38,Cricket: Sydney Sixers v Perth Scorchers,Sydney Cricket Ground,cricket,sport,cricket,2017-12-23,,,,,,,Cricsheet,Big Bash League,T20,Sydney Sixers,Perth Scorchers,,,2017,12,23,Saturday,,,1,https://cricsheet.org/downloads/bbl_json.zip,Cricsheet JSON file: 1114860.json; attendance not provided
39,Cricket: Sydney Sixers v Adelaide Strikers,Sydney Cricket Ground,cricket,sport,cricket,2017-12-28,,,,,,,Cricsheet,Big Bash League,T20,Sydney Sixers,Adelaide Strikers,,,2017,12,28,Thursday,,,0,https://cricsheet.org/downloads/bbl_json.zip,Cricsheet JSON file: 1114864.json; attendance not provided
40,Cricket: England v Australia,Sydney Cricket Ground,cricket,sport,cricket,2018-01-04,,,,,,,Cricsheet,England tour of Australia and New Zealand,Test,England,Australia,,,2018,1,4,Thursday,,,0,https://cricsheet.org/downloads/tests_json.zip,Cricsheet JSON file: 1072309.json; attendance not provided
41,Cricket: Sydney Sixers v Sydney Thunder,Sydney Cricket Ground,cricket,sport,cricket,2018-01-13,,,,,,,Cricsheet,Big Bash League,T20,Sydney Sixers,Sydney Thunder,,,2018,1,13,Saturday,,,1,https://cricsheet.org/downloads/bbl_json.zip,Cricsheet JSON file: 1114883.json; attendance not provided
42,Cricket: Sydney Sixers v Brisbane Heat,Sydney Cricket Ground,cricket,sport,cricket,2018-01-18,,,,,,,Cricsheet,Big Bash League,T20,Sydney Sixers,Brisbane Heat,,,2018,1,18,Thursday,,,0,https://cricsheet.org/downloads/bbl_json.zip,Cricsheet JSON file: 1114887.json; attendance not provided
43,Cricket: England v Australia,Sydney Cricket Ground,cricket,sport,cricket,2018-01-21,,,,,,,Cricsheet,England tour of Australia and New Zealand,ODI,England,Australia,,,2018,1,21,Sunday,,,1,https://cricsheet.org/downloads/odis_json.zip,Cricsheet JSON file: 1072312.json; attendance not provided
44,Cricket: Sydney Sixers v Melbourne Stars,Sydney Cricket Ground,cricket,sport,cricket,2018-01-23,,,,,,,Cricsheet,Big Bash League,T20,Sydney Sixers,Melbourne Stars,,,2018,1,23,Tuesday,,,0,https://cricsheet.org/downloads/bbl_json.zip,Cricsheet JSON file: 1114891.json; attendance not provided
45,Cricket: New Zealand v Australia,Sydney Cricket Ground,cricket,sport,cricket,2018-02-03,,,,,,,Cricsheet,Trans-Tasman Twenty20 Trophy,T20,New Zealand,Australia,,,2018,2,3,Saturday,,,1,https://cricsheet.org/downloads/t20s_json.zip,Cricsheet JSON file: 1072316.json; attendance not provided
46,The Rubens,Sydney Cricket Ground,concert,concert,concert/performance,2018-10-27,,,,,,,Concert Archives,,,,,,,2018,10,27,Saturday,,,1,https://www.concertarchives.org/venues/sydney-cricket-ground,Concert Archives SCG listing
47,A-League: Sydney FC v Western Sydney Wanderers,Sydney Cricket Ground,a_league,sport,football,2018-10-27,,,,,30588.0,reported_crowd,Ultimate A-League,2018-19,2,Sydney FC,Western Sydney Wanderers,2.0,0.0,2018,10,27,Saturday,,,1,https://www.ultimatealeague.com/stadium/?stadium_id=37,Ultimate A-League SCG stadium page
48,Cricket: Australia v India,Sydney Cricket Ground,cricket,sport,cricket,2018-11-25,,,,,,,Cricsheet,India tour of Australia,T20,Australia,India,,,2018,11,25,Sunday,,,1,https://cricsheet.org/downloads/t20s_json.zip,Cricsheet JSON file: 1144992.json; attendance not provided
49,Cricket: Sydney Sixers v Perth Scorchers,Sydney Cricket Ground,cricket,sport,cricket,2018-12-22,,,,,,,Cricsheet,Big Bash League,T20,Sydney Sixers,Perth Scorchers,,,2018,12,22,Saturday,,,1,https://cricsheet.org/downloads/bbl_json.zip,Cricsheet JSON file: 1152514.json; attendance not provided
50,Cricket: Sydney Sixers v Melbourne Stars,Sydney Cricket Ground,cricket,sport,cricket,2018-12-27,,,,,,,Cricsheet,Big Bash League,T20,Sydney Sixers,Melbourne Stars,,,2018,12,27,Thursday,,,0,https://cricsheet.org/downloads/bbl_json.zip,Cricsheet JSON file: 1152520.json; attendance not provided
51,Cricket: Australia v India,Sydney Cricket Ground,cricket,sport,cricket,2019-01-03,,,,,,,Cricsheet,India tour of Australia,Test,Australia,India,,,2019,1,3,Thursday,,,0,https://cricsheet.org/downloads/tests_json.zip,Cricsheet JSON file: 1144996.json; attendance not provided
52,Cricket: Australia v India,Sydney Cricket Ground,cricket,sport,cricket,2019-01-12,,,,,,,Cricsheet,India tour of Australia,ODI,Australia,India,,,2019,1,12,Saturday,,,1,https://cricsheet.org/downloads/odis_json.zip,Cricsheet JSON file: 1144997.json; attendance not provided
53,Cricket: Sydney Sixers v Melbourne Renegades,Sydney Cricket Ground,cricket,sport,cricket,2019-01-16,,,,,,,Cricsheet,Big Bash League,T20,Sydney Sixers,Melbourne Renegades,,,2019,1,16,Wednesday,,,0,https://cricsheet.org/downloads/bbl_json.zip,Cricsheet JSON file: 1152542.json; attendance not provided
54,Cricket: Sydney Sixers v Brisbane Heat,Sydney Cricket Ground,cricket,sport,cricket,2019-01-20,,,,,,,Cricsheet,Big Bash League,T20,Sydney Sixers,Brisbane Heat,,,2019,1,20,Sunday,,,1,https://cricsheet.org/downloads/bbl_json.zip,Cricsheet JSON file: 1152546.json; attendance not provided
55,Cricket: Sydney Sixers v Hobart Hurricanes,Sydney Cricket Ground,cricket,sport,cricket,2019-01-23,,,,,,,Cricsheet,Big Bash League,T20,Sydney Sixers,Hobart Hurricanes,,,2019,1,23,Wednesday,,,0,https://cricsheet.org/downloads/bbl_json.zip,Cricsheet JSON file: 1152550.json; attendance not provided
56,Cricket: Sydney Sixers v Adelaide Strikers,Sydney Cricket Ground,cricket,sport,cricket,2019-01-29,,,,,,,Cricsheet,Big Bash League,T20,Sydney Sixers,Adelaide Strikers,,,2019,1,29,Tuesday,,,0,https://cricsheet.org/downloads/bbl_json.zip,Cricsheet JSON file: 1152555.json; attendance not provided
57,Cricket: Sydney Sixers v Sydney Thunder,Sydney Cricket Ground,cricket,sport,cricket,2019-02-02,,,,,,,Cricsheet,Big Bash League,T20,Sydney Sixers,Sydney Thunder,,,2019,2,2,Saturday,,,1,https://cricsheet.org/downloads/bbl_json.zip,Cricsheet JSON file: 1152559.json; attendance not provided
58,A-League: Sydney FC v Melbourne Victory,Sydney Cricket Ground,a_league,sport,football,2019-04-06,,,,,14155.0,reported_crowd,Ultimate A-League,2018-19,24,Sydney FC,Melbourne Victory,2.0,1.0,2019,4,6,Saturday,,,1,https://www.ultimatealeague.com/stadium/?stadium_id=37,Ultimate A-League SCG stadium page
